               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10905,            0.018948,                   0,           0.0013178,                0.34,           0.0025996,          0.00082668,            0.091025,            0.012303,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.088905,            0.019962,                   0,           0.0034109,                0.88,             0.22701,            0.071575,            0.066519,            0.011739,                   0,            0.061286,           0.0042858,           0.0042858
                   2,            0.073226,            0.019396,                   0,             0.72779,                0.18,             0.40886,             0.16309,            0.066401,           0.0099048,                   0,            0.041457,           0.0064571,           0.0064571
                   3,            0.068777,            0.019355,                   0,             0.51274,              0.3158,             0.37889,             0.11049,            0.064824,            0.010125,                   0,            0.021614,           0.0086139,           0.0086139
                   4,            0.062893,            0.017864,                   0,             0.31494,                 0.3,             0.33585,             0.12035,            0.059944,            0.009855,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.057843,            0.017716,                   0,             0.58974,             0.43137,             0.56852,             0.22681,            0.050484,           0.0087537,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.052009,            0.016153,                   0,             0.55483,                0.68,             0.65885,             0.32796,            0.047398,            0.008078,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.048949,            0.014361,                   0,              0.8169,                0.68,             0.77446,             0.40326,            0.048096,           0.0071556,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.047189,            0.014229,                   0,             0.56489,                 0.7,              0.5689,             0.24592,            0.050724,           0.0059663,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.044223,            0.012194,                   0,             0.61707,             0.77356,             0.70502,             0.27486,            0.050487,           0.0054451,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.043728,            0.011326,                   0,             0.83312,             0.79878,             0.81798,             0.35736,            0.042627,            0.005502,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.041806,            0.010588,                   0,             0.66707,             0.76139,             0.69704,              0.3271,            0.040923,           0.0049969,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.042227,            0.010672,                   0,             0.78053,             0.78248,             0.71256,              0.3032,            0.043507,           0.0047626,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.041246,           0.0095266,                   0,             0.89655,             0.86676,             0.89625,             0.41707,            0.040902,           0.0048483,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.039718,           0.0093363,                   0,             0.94091,                0.88,             0.88582,             0.46178,            0.034368,           0.0043791,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.036856,           0.0087676,                   0,             0.92748,                0.82,             0.83853,             0.38228,            0.035141,           0.0043222,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.037354,           0.0089332,                   0,             0.89509,                0.86,              0.8461,             0.41725,            0.038488,           0.0044524,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.03754,           0.0082284,                   0,             0.90407,                0.84,               0.857,             0.44301,             0.03471,           0.0043456,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.036129,            0.008356,                   0,             0.90652,                0.84,             0.84949,             0.45885,             0.03493,           0.0043044,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.03522,           0.0083338,                   0,             0.88754,                0.82,             0.81822,              0.3839,            0.036013,           0.0041434,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.035734,           0.0075099,                   0,             0.90589,                0.86,             0.86843,             0.46735,            0.036722,           0.0044484,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.033679,           0.0076279,                   0,             0.91474,                0.88,             0.88205,             0.43916,            0.033151,           0.0042299,                   0,             0.00934,             0.00934,             0.00934
