               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1121,            0.021157,                   0,           0.0084051,                0.12,           0.0049056,          0.00089138,             0.09344,             0.01382,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.095018,            0.019759,                   0,            0.042723,                0.06,            0.035669,           0.0066069,            0.083657,            0.011339,                   0,            0.061286,           0.0042858,           0.0042858
                   2,            0.082604,             0.01834,                   0,              0.2644,                0.26,             0.15199,            0.042257,            0.074398,             0.01046,                   0,            0.041457,           0.0064571,           0.0064571
                   3,            0.073694,             0.01916,                   0,             0.18418,                0.18,             0.16625,            0.031236,            0.082687,           0.0085147,                   0,            0.021614,           0.0086139,           0.0086139
                   4,            0.067378,            0.018032,                   0,             0.42306,                0.46,             0.31595,            0.089732,            0.068652,           0.0082019,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.061769,            0.017913,                   0,             0.44394,                0.54,             0.43353,             0.17308,            0.056104,           0.0096136,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.056768,            0.016542,                   0,             0.33429,                0.56,             0.33316,            0.077364,            0.058719,           0.0084192,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.052341,            0.015559,                   0,             0.56683,                0.72,             0.63836,             0.22897,            0.049491,           0.0081897,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.050277,            0.015362,                   0,             0.64362,                0.66,             0.58009,             0.18149,            0.056043,           0.0067014,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.046674,            0.013285,                   0,             0.77821,                0.68,             0.77618,              0.2661,            0.050073,           0.0062296,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.046057,            0.012653,                   0,             0.74955,                 0.8,             0.79028,             0.31181,            0.044015,           0.0058115,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.044019,            0.011828,                   0,             0.94384,              0.6724,             0.82576,             0.36115,            0.042793,             0.00589,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.044797,            0.011796,                   0,             0.84324,              0.7532,             0.79561,             0.31198,            0.041949,           0.0056906,                   0,            0.009637,            0.009637,            0.009637
